Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Abschiedsgesang an Wiens Bürger,,,,"Beethoven, Ludwig van",WoO 121,ILB 3,G major,Entschlossen und feurig,1796,"1796
Librettist
Josef Friedelberg
(ca. 1730-1800)
Language
German",,,,Classical,Classical,"https://imslp.org/wiki/Abschiedsgesang_an_Wiens_B%C3%BCrger,_WoO_121_(Beethoven,_Ludwig_van)"
Abschiedsgesang,,,,"Beethoven, Ludwig van",WoO 102,ILB 4,B-flat major,Andante ma non troppo,1814,"1814
Librettist
Ignaz Seyfried
(1776-1841)
Language
German",,,4 minutes,Classical,Classical,"https://imslp.org/wiki/Abschiedsgesang,_WoO_102_(Beethoven,_Ludwig_van)"
Adagio for Mandolin and Harpsichord,,,,"Beethoven, Ludwig van",WoO 43b,ILB 5,E-flat major,Adagio,1796,1865,,,5-6 minutes,Classical,Classical,"https://imslp.org/wiki/Adagio_for_Mandolin_and_Harpsichord,_WoO_43b_(Beethoven,_Ludwig_van)"
Adelaide,,,,"Beethoven, Ludwig van",Op.46,ILB 6,B-flat major,"1 song
Text Incipit
Einsam wandelt dein Freund im Frühlingsgarten",1794-96,"1802 ca. - Vienna:
Artaria
Librettist
Friedrich von Matthisson
(1761-1831)
Language
German (+ translations)",,"Friedrich von Matthisson
(1761–1831)",6 minutes,Classical,Classical,"https://imslp.org/wiki/Adelaide,_Op.46_(Beethoven,_Ludwig_van)"
Ah! Perfido,,,,"Beethoven, Ludwig van",Op.65,ILB 7,C major,Allegro con brio,"1796
First Perf
ormance
.
1796-10-21, Leipzig","1805 (vocal score)
Librettist
Pietro Metastasio
(1698-1782)
Language
Italian",,Countess Josephine de Clary,,Classical,Classical,"https://imslp.org/wiki/Ah!_Perfido,_Op.65_(Beethoven,_Ludwig_van)"
Allegretto for Piano Trio,,,,"Beethoven, Ludwig van",WoO 39,ILB 9,B-flat major,1 piece,1812-6-26,1830 - Frankfurt am Main: F. P. Dunst,,"""little friend""
Maximiliane Brentano (1802-1861)",,Classical,Classical,"https://imslp.org/wiki/Allegretto,_WoO_39_(Beethoven,_Ludwig_van)"
Allegretto,,,,"Beethoven, Ludwig van",WoO 53,ILB 11,C minor,Allegretto,1796-97,,,,,Classical,Classical,"https://imslp.org/wiki/Allegretto,_WoO_53_(Beethoven,_Ludwig_van)"
Allegretto,,,,"Beethoven, Ludwig van",WoO 61,ILB 12,B minor,Allegretto,1821,,,,,Classical,Classical,"https://imslp.org/wiki/Allegretto,_WoO_61_(Beethoven,_Ludwig_van)"
Allemande,,,,"Beethoven, Ludwig van",WoO 81,ILB 13,A major,Allemande,1793,1888 ca.,,,,Classical,Classical,"https://imslp.org/wiki/Allemande,_WoO_81_(Beethoven,_Ludwig_van)"
"Alles Gute, alles Schöne!, WoO 179",,,,"Beethoven, Ludwig van",WoO 179,ILB 14,C major,Mässig,"1819, Dec.
Language
German",,,Erzherzog Rudolph,,Classical,Classical,"https://imslp.org/wiki/Alles_Gute,_alles_Sch%C3%B6ne!,_WoO_179_(Beethoven,_Ludwig_van)"
"Song, Als die Geliebte sich trennen wollte",,,,"Beethoven, Ludwig van",WoO 132,ILB 15,E-flat major,Sehr bewegt,1806,"1809 ca.
Librettist
Stephan von Breuning
(1774–1827)
Language
German",,,2-3 minutes,Classical,Classical,"https://imslp.org/wiki/Als_die_Geliebte_sich_trennen_wollte,_WoO_132_(Beethoven,_Ludwig_van)"
"An die ferne Geliebte (""To the Distant Beloved"")","An die ferne Geliebte
;
遥かなる恋人に
;
A la amada lejana
;
致遠方的愛人
;
致远方的爱人
;
멀리 있는 연인에게
;
Vzdálené lásce
;
An die ferne Geliebte Op. 98","À la Bien-aimée lointaine (Beethoven)
;
À la bien-aimée lointaine
;
A la Bien-aimee lointaine
;
À la Bien-aimée lointaine
;
遙かなる恋人に
;
はるかなる恋人に
;
遥かな恋人に
;
遙かな恋人に
;
はるかな恋人に
;
遥かなる恋人に寄せる
;
遙かなる恋人に寄せる
;
はるかなる恋人に寄せる
;
遥かなる恋人に寄す
;
遙かなる恋人に寄す
;
はるかなる恋人に寄す
;
An die ferne Geliebte, Op. 98","WorldCat
;
Wikipedia
;
VIAF
:
2328152684009023430006
;
LCCN
:
n83151223
;
GND
:
300014864
;
SUDOC
:
23081414X
;
BNF
:
13908282s
;
NLA
:
35122805
;
BNE
:
XX3390128","Beethoven, Ludwig van",Op.98,ILB 16,E-flat major,"6 songs:
1.
Auf dem Hügel sitz ich spähend.
Ziemlich langsam und mit Ausdruck (E
♭
major)
2.
Wo die Berge so blau.
Ein wenig geschwinder, Poco Allegretto (G major)
3.
Leichte Segler in den Höhen.
Allegro assai (A
♭
major)
4.
Diese Wolken in den Höhen.
Nicht zu geschwinde angenehm und mit viel Empfindung (G major)
5.
Es kehret der Maien, es blühet die Au.
Vivace (C major)
6.
Nimm sie hin denn, diese Lieder.
Andante con moto, cantabile (E
♭
major)",1816 (April),"1816
Librettist
Alois Isidor Jeitteles
(1794-1858)
Language
German",,"Fürst Joseph von Lobkowitz
(1772-1816)",14-15 minutes,Classical,Classical,"https://imslp.org/wiki/An_die_ferne_Geliebte,_Op.98_(Beethoven,_Ludwig_van)"
An die Geliebte,,,,"Beethoven, Ludwig van",WoO 140,ILB 17,D major,"Andantino, un poco agitato",1811,"1814 - Vienna (Second version)
1826 - Augsburg (First version)
Librettist
Josef Ludwig Stoll
(1778-1815)
Language
German",,,1 minute,Classical,Classical,"https://imslp.org/wiki/An_die_Geliebte,_WoO_140_(Beethoven,_Ludwig_van)"
An die Hoffnung,,,,"Beethoven, Ludwig van",Op.32,ILB 18,E-flat major,"Poco adagio
Text Incipit
Die du so gern in heil'gen Nächten feierst",1804–05,"1805
Librettist
Christoph August Tiedge
(1752-1841)
Language
German",,,2 minutes,Classical,Classical,"https://imslp.org/wiki/An_die_Hoffnung,_Op.32_(Beethoven,_Ludwig_van)"
An die Hoffnung,,,,"Beethoven, Ludwig van",Op.94,ILB 19,B-flat minor,Poco sostenuto,1813–15,"1816 - Vienna:
S.A. Steiner & Co.
Librettist
Christoph August Tiedge
Language
German",,,8 minutes,Classical,Classical,"https://imslp.org/wiki/An_die_Hoffnung,_Op.94_(Beethoven,_Ludwig_van)"
An einen Säugling,,,,"Beethoven, Ludwig van",WoO 108,ILB 20,A major,Arioso,1783,"1784
Librettist
Johann von Döring
(1741-1818)
Language
German",,,1 minute,Classical,Classical,"https://imslp.org/wiki/An_einen_S%C3%A4ugling,_WoO_108_(Beethoven,_Ludwig_van)"
An Mälzel,,,,"Beethoven, Ludwig van",WoO 162,ILB 21,B-flat major,Canon,"1812
Language
German",,,,1 minute,Classical,Classical,"https://imslp.org/wiki/An_M%C3%A4lzel,_WoO_162_(Beethoven,_Ludwig_van)"
An Minna,,,,"Beethoven, Ludwig van",WoO 115,ILB 22,D major,"Allegretto
Text Incipit
Nur bei dir, an deinem Herzen
(""Only with you, to your heart"")","1792 ca.
Language
German",,,,1-2 minutes,Classical,Classical,"https://imslp.org/wiki/An_Minna,_WoO_115_(Beethoven,_Ludwig_van)"
An Sie,,,,"Beethoven, Ludwig van",Anh.18,ILB 343,"A-flat major
Text Incipit
O du, nach der sich alle meine Wünsche lenken",,,"1839 – Hannover: Woltmann
Hofmeister's
Monatsbericht
(1839), p.124
Librettist
Anonymous
Language
German",,,,Classical,Romantic,"https://imslp.org/wiki/An_Sie,_Anh.18_(Beethoven,_Ludwig_van)"
Andante con Variazioni for Mandolin and Harpsichord,,,,"Beethoven, Ludwig van",WoO 44b,ILB 361,D major,Thema & 6 variations,1796,,,for Josephine de Clary,,Classical,Classical,"https://imslp.org/wiki/Andante_con_Variazioni,_WoO_44b_(Beethoven,_Ludwig_van)"
Andante favori,"Andante Favori
;
Andante Favorì
;
アンダンテ・ファヴォリ
;
Andante favorì
;
אנדנטה פבורי
;
آندانته فاووری
;
안단테 파보리
;
喜愛的行板",,"WorldCat
;
Wikipedia
;
LCCN
:
n82044803","Beethoven, Ludwig van",WoO 57,ILB 23,F major,Andante grazioso con moto,1803-1804,1805,,,,Classical,Classical,"https://imslp.org/wiki/Andante_favori,_WoO_57_(Beethoven,_Ludwig_van)"
Andenken,,,,"Beethoven, Ludwig van",WoO 136,ILB 24,D major,Andante con moto,1808,"1810
Librettist
Friedrich von Matthisson
(1761-1831)
Language
German",,,3 minutes,Classical,Classical,"https://imslp.org/wiki/Andenken,_WoO_136_(Beethoven,_Ludwig_van)"
4 Ariettas and a Duet,,,,"Beethoven, Ludwig van",Op.82,ILB 26,see below,"4 ariettas, 1 duet:
Hoffnung.
Allegretto moderato (A major)
Liebes-Klage.
Adagio ma non troppo (D major)
L'amante impaziente
Arietta buffa, Allegro (E
♭
major)
L'amante impaziente.
Arietta assai seriosa, Andante con espressione (B
♭
major)
Lebens-Genuss.
Duet, Andante vivace (E major)
Text Incipit
see below
Dimmi, ben mio, che m'ami
T'intendo, sì, mio cor
Che fa, che fa il mio bene?
Che fa, che fa il mio bene?
Odi l'aura che dolce sospira",1809 ca.,"1811
Librettist
see below
1. Unknown
2-5. Pietro Trapassi, pseud.
Pietro Metastasio
(1698-1782)
Language
Italian",,,11-12 minutes,Classical,Classical,"https://imslp.org/wiki/4_Arietten_und_ein_Duett,_Op.82_(Beethoven,_Ludwig_van)"
Bagatelle in F minor,,,,"Beethoven, Ludwig van",,ILB 31,F minor,1 (unfinished),1826,,,,,Classical,Classical,"https://imslp.org/wiki/Bagatelle_in_F_minor_(Beethoven,_Ludwig_van)"
"Allegretto quasi Andante, WoO 61a",,,,"Beethoven, Ludwig van",WoO 61a ; Hess 56,ILB 10,G minor,Allegretto quasi Andante,1825-09-27,,,Sarah Burney Payne,,Classical,Classical,"https://imslp.org/wiki/Bagatelle,_WoO_61a_(Beethoven,_Ludwig_van)"
Bagatelle,,,,"Beethoven, Ludwig van",WoO 52,ILB 29,C minor,Presto,,,,,,Classical,Classical,"https://imslp.org/wiki/Bagatelle,_WoO_52_(Beethoven,_Ludwig_van)"
Bagatelle in C minor,,,,"Beethoven, Ludwig van",WoO 54,ILB 30,C major-C minor,Lustig - Traurig,1802,,,,1 minute,Classical,Classical,"https://imslp.org/wiki/Bagatelle,_WoO_54_(Beethoven,_Ludwig_van)"
Bagatelle,,,,"Beethoven, Ludwig van",WoO 56,ILB 28,C major,Allegretto,1803,"1888 - Leipzig:
Breitkopf & Härtel",,,2 minutes,Classical,Classical,"https://imslp.org/wiki/Bagatelle,_WoO_56_(Beethoven,_Ludwig_van)"
"Bagatelle in B
♭
major","Bagatelle en si bémol majeur
;
Bagatelle B-Dur
;
Bagatelle for piano in B-flat major",Ziemlich lebhaft (Bagatelle) for piano in B-flat major,"BNF
:
14847199s","Beethoven, Ludwig van",WoO 60,ILB 27,B-flat major,Ziemlich lebhaft,1818,1824 (as a supplement of the Berliner allgemeine musikalische Zeitung),,,1 minute,Classical,Classical,"https://imslp.org/wiki/Bagatelle_in_B-flat_major,_WoO_60_(Beethoven,_Ludwig_van)"
Seven Bagatelles,"Sept bagatelles
;
Bagatelles, Op. 33
;
Bagatelas, Op. 33
;
Sieben Bagatellen op. 33
;
Bagatel·les, Op. 33 (Beethoven)
;
바가텔, 작품 번호 33
;
7つのバガテル","Bagatelles pour le Pianoforte
;
Bagatelles op. 33
;
7 Bagatellen
;
7 Bagatelles","Wikipedia
;
BNF
:
14817949t","Beethoven, Ludwig van",Op.33,ILB 32,see below,"7 pieces:
Andante grazioso quasi allegretto (E
♭
major)
Scherzo - Allegro (C major)
Allegretto (F major)
Andante (A major)
Allegro ma non troppo (C major)
Allegretto quasi andante (D major)
Presto (A
♭
major)","1782, rev.1802",1803,,,,Classical,Classical,"https://imslp.org/wiki/7_Bagatelles,_Op.33_(Beethoven,_Ludwig_van)"
Eleven New Bagatelles,"Onze bagatelles
;
Bagatelles, Op. 119
;
Bagatelas, Op. 119
;
Elf Bagatellen für Klavier
;
Bagatel·les, Op. 119 (Beethoven)
;
바가텔, 작품 번호 119
;
音樂小品, 作品119
;
11の新しいバガテル",Onze bagatelles opus 119 de Beethoven,"WorldCat
;
Wikipedia
;
VIAF
:
185418225
;
LCCN
:
nr94019271
;
BNF
:
148179501
;
NLA
:
35970694","Beethoven, Ludwig van",Op.119,ILB 33,see below,"11 pieces:
Allegretto (G minor)
Andante con moto (C major)
à l'Allamende (D major)
Andante cantabile (A major)
Risoluto (C minor)
Andante - Allegretto (G major)
C major
Moderato cantabile (C major)
Vivace moderato (A minor)
Allegramente (A major)
Andante ma non troppo (B
♭
major)",1822,1823,,,,Classical,Classical,"https://imslp.org/wiki/11_Bagatelles,_Op.119_(Beethoven,_Ludwig_van)"
6 Bagatelles,"Six bagatelles
;
Bagatelles, Op. 126
;
6つのバガテル (ベートーヴェン)
;
Bagatelas, Op. 126
;
Sechs Bagatellen für Klavier
;
Bagatel·les, Op. 126 (Beethoven)
;
바가텔, 작품 번호 126
;
音樂小品, 作品126","Six Bagatelles opus 126 de Beethoven
;
Six bagatelles opus 126 de Beethoven
;
Six Bagatelles, Op. 126
;
6 Bagatelles, Op. 126","WorldCat
;
Wikipedia
;
LCCN
:
nr94019272
;
BNF
:
139081517","Beethoven, Ludwig van",Op.126,ILB 34,,"6 pieces:
Andante con moto, cantabile e con piacevole (G major)
Allegro (G major)
Andante, Cantabile ed espressivo (E
♭
major)
Presto (B major)
Quasi allegretto (G major)
Presto — Andante amabile e con moto (E
♭
major)",1824,1825,,,"20 minutes (3, 3, 3, 4, 3, 4)",Classical,Romantic,"https://imslp.org/wiki/6_Bagatelles,_Op.126_(Beethoven,_Ludwig_van)"
Der Bardengeist,,,,"Beethoven, Ludwig van",WoO 142,ILB 35,E minor,Mässig langsam,1813,"1813 or 1814
Librettist
Franz Rudolf Hermann
(1787-1823)
Language
German",,,1-2 minutes,Classical,Romantic,"https://imslp.org/wiki/Der_Bardengeist,_WoO_142_(Beethoven,_Ludwig_van)"
Bundeslied,,,,"Beethoven, Ludwig van",Op.122,ILB 36,B-flat major,In rascher geschwinder Bewegung,1823–24,"1825
Librettist
Johann Wolfgang von Goethe
(1749–1832)
Language
German",,,,Classical,Classical,"https://imslp.org/wiki/Bundeslied,_Op.122_(Beethoven,_Ludwig_van)"
Cantata on the Accession of Emperor Leopold II,,,,"Beethoven, Ludwig van",WoO 88,ILB 38,see below,"6 movements:
Recitativo. Adagio assai (A
♭
major)
Aria. Allegro moderato (G major)
Recitativo (F minor)
Recitativo (D major)
Terzetto. Andante con moto (A major)
Coro. Un poco allegro e maestoso (D major)","1790
Librettist
Severin Anton Averdonk
(1768-1817)
Language
German",,,,,Classical,Classical,"https://imslp.org/wiki/Cantata_on_the_Accession_of_Emperor_Leopold_II,_WoO_88_(Beethoven,_Ludwig_van)"
Cantata on the Death of Emperor Joseph II,,,,"Beethoven, Ludwig van",WoO 87,ILB 39,C minor,"7 movements:
Coro. Largo - Larghetto (C minor)
Recitativo. Presto (A minor)
Aria. Allegro maestoso - Allegro assai (D major)
Aria con Coro. Andante con moto (F major)
Recitativo. Largo (D minor)
Aria. Adagio con affetto (E
♭
major)
Coro. Largo - Larghetto (C minor)","1790
First Perf
ormance
.
1884 November, Vienna","1888
Librettist
Severin Anton Averdonk
(1768-1817)
Language
German",,,,Classical,Classical,"https://imslp.org/wiki/Cantata_on_the_Death_of_Emperor_Joseph_II,_WoO_87_(Beethoven,_Ludwig_van)"
Cello Sonata,,,,"Beethoven, Ludwig van",Op.64,ILB 40,E-flat major,,,"1807 – Vienna:
Artaria",,,,Classical,Classical,"https://imslp.org/wiki/Cello_Sonata_in_E-flat_major,_Op.64_(Beethoven,_Ludwig_van)"
Cello Sonata,"Sonate pour violoncelle et piano nº 1 de Beethoven
;
Cellosonate Nr. 1
;
チェロソナタ第1番 (ベートーヴェン)
;
Cello Sonata No. 1
;
Sonata per a violoncel i piano núm. 1
;
첼로 소나타 1번","Sonate pour violoncelle n° 1 de Beethoven
;
Sonate pour violoncelle et piano n° 1 (Beethoven)
;
Sonate pour violoncelle et piano nº 1 (Beethoven)
;
Sonata for Cello and Piano No. 1 in F Major, Op. 5, No. 1","WorldCat
;
LCCN
:
no91029539
;
BNF
:
13908212m","Beethoven, Ludwig van",Op.5 No.1,ILB 41,F major,"3 movements:
Adagio sostenuto (F major)
Allegro (F major)
Allegro vivace (F major)",1796,"1797 in
2 Cello Sonatas, Op.5
(No.1)",,"Friedrich Wilhelm II, King of Prussia (1744-1797)",,Classical,Classical,"https://imslp.org/wiki/Cello_Sonata_No.1,_Op.5_No.1_(Beethoven,_Ludwig_van)"
Cello Sonata No.2,"Cellosonate Nr. 2
;
Sonate pour violoncelle et piano nº 2
;
チェロソナタ第2番 (ベートーヴェン)
;
Cello Sonata No. 2
;
Sonata per a violoncel i piano núm. 2 (Beethoven)
;
첼로 소나타 2번","Sonata for Cello and Piano No. 2 in G Minor, Op. 5, No. 2","WorldCat
;
LCCN
:
no91029540
;
BNF
:
13908213z","Beethoven, Ludwig van",Op.5 No.2,ILB 42,G minor,"3 movements:
Adagio sostenuto ed espressivo (G minor)
Allegro molto più tosto presto (G minor)
Rondo. Allegro (G major)",1796,"1797 in
2 Cello Sonatas, Op.5
(No.2)",,"Friedrich Wilhelm II, King of Prussia",,Classical,Classical,"https://imslp.org/wiki/Cello_Sonata_No.2,_Op.5_No.2_(Beethoven,_Ludwig_van)"
Cello Sonata No.3,"Sonate pour violoncelle et piano nº 3 de Beethoven
;
Cello Sonata No. 3
;
Tšellosonaat nr 3 (Beethoven)
;
Cellosonate Nr. 3
;
チェロソナタ第3番 (ベートーヴェン)
;
Sonata para violonchelo n.º 3
;
Sonate voor piano en cello in A, opus 69 nr 3
;
سونات ویولنسل شماره ۳
;
Sonata per a violoncel i piano núm. 3
;
첼로 소나타 3번","Sonate pour violoncelle n° 3 (Beethoven)
;
Sonate pour violoncelle n° 3 de beethoven
;
Sonate pour violoncelle no 3 de Beethoven
;
Sonate pour violoncelle n° 3 de Beethoven
;
Sonate pour violoncelle et piano n° 3 (Beethoven)
;
Sonata para violonchelo y piano n.º 3 en la mayor, Op. 69
;
Sonata for Cello and Piano No. 3 in A Major, Op. 69","WorldCat
;
Wikipedia
;
LCCN
:
n85027035
;
GND
:
300016999
;
BNF
:
13908236m","Beethoven, Ludwig van",Op.69,ILB 43,A major,"3 movements:
Allegro, ma non tanto (A major)
Scherzo. Allegro molto (A minor) - Trio (A major)
Adagio cantabile (E major) - Allegro vivace (A major)",1808,"1809 - Leipzig:
Breitkopf und Härtel",,Ignaz Freiherr von Gleichenstein,,Classical,Romantic,"https://imslp.org/wiki/Cello_Sonata_No.3,_Op.69_(Beethoven,_Ludwig_van)"
Cello Sonata No.4,,,,"Beethoven, Ludwig van",Op.102 No.1,ILB 44,C major,"2 movements:
Andante (C major) - Allegro vivace (A minor)
Adagio - Allegro vivace (C major)",1815,"1816 - Bonn:
Simrock",,Anna Maria Erdődy,15 minutes,Classical,Romantic,"https://imslp.org/wiki/Cello_Sonata_No.4,_Op.102_No.1_(Beethoven,_Ludwig_van)"
Cello Sonata No.5,,,,"Beethoven, Ludwig van",Op.102 No.2,ILB 45,D major,"3 movements:
Allegro con brio (D major)
Adagio con molto sentimento d'affetto (D minor)
Allegro (D major)",1815,"1816 - Bonn:
Simrock",,Anna Maria Erdődy,,Classical,Classical,"https://imslp.org/wiki/Cello_Sonata_No.5,_Op.102_No.2_(Beethoven,_Ludwig_van)"
Chorus for the Allied Princes,,,,"Beethoven, Ludwig van",WoO 95,ILB 95,A major,Ziemlich lebhaft,1814,"1888 - Leipzig:
Breitkopf & Härtel
Librettist
Josef Karl Bernard
Language
German",,,,Classical,Classical,"https://imslp.org/wiki/Chorus_for_the_Allied_Princes,_WoO_95_(Beethoven,_Ludwig_van)"
Christus am Ölberge,"Christus am Ölberg
;
Cristo sul Monte degli Ulivi
;
オリーヴ山上のキリスト
;
Crist en el Mont de les Oliveres
;
İsa Zeytin Dağı'nda
;
Cristo en el Monte de los Olivos (Beethoven)
;
Cristo no Monte das Oliveiras
;
基督在橄榄山上
;
基督在橄欖山上
;
올리브산 위의 그리스도","Le Christ au Mont des Oliviers
;
Cristo sull'Oliveto
;
Christus am Ølberg
;
基督在橄欖山
;
Christus am Olberge
;
Cristo all'Oliveto","WorldCat
;
Wikipedia
;
VIAF
:
177531274
;
LCCN
:
n88604356
;
GND
:
300015003
;
BNF
:
13908267w","Beethoven, Ludwig van",Op.85,ILB 46,E-flat minor,"6 movements:
1. Introduction. Grave - Adagio (E
♭
minor)
a. Recitativo (C minor)
b. Aria. Allegro (C minor)
2. Allegro (A major)
a. Aria. Larghetto (G major)
b. Allegro (G major)
3. Recitativo (C major)
a Duetto. Adagio molto (A
♭
major)
4. Recitativo. Andante con moto (F major)
a. Alla Marcia (C major)
5. Recitativo. L'istesso tempo della Marcia (F major)
a. Allegro molto (D major)
6. Recitativo. Allegro molto (C major)
a. Terzetto. Allegro ma non troppo (B
♭
major)
b. Maestoso (C major)
c. Allegro (C major)
Text Incipit
see below
1a. Jehova, du mein Vater!
1b. Meine Seele ist erschüttert
2. Erzittre, Erde, Jehova's Sohn liegt heir!
a. Preist des Erlösers Güte
b. O Heil euch, ihr Erlösten
3. Verkündet, Seraph, mir dein Mund Erbarmen
a. So ruhe denn mit ganzer Schwere
4. Wilkommen, Tod
a. Wir haben ihn gesehen
5. Die mich zu fangen ausgezogen sind
a. Hier ist er, der Verbannte
6. Nicht ungestraft soll der Verweg'nen Schar
a. In meinen Adern wühlen gerechter Zorn und Wut
b. Welten singen Dank und Ehre ('Hallelujah')
c. Preiset ihn, ihr Engelchöre","1803–04
First Perf
ormance
.
1803-4-5 in Vienna,
Theater an der Wien","1811 - Leipzig: Breitkopf und Härtel
Librettist
Franz Xaver Huber
(1755-1814)
Language
German",,,50-60 minutes,Classical,Classical,"https://imslp.org/wiki/Christus_am_%C3%96lberge,_Op.85_(Beethoven,_Ludwig_van)"
12 Contredanses for Orchestra,,,,"Beethoven, Ludwig van",WoO 14 ; Hess 102 (piano version),ILB 47,see below,"12 dances:
Contredanse (C major)
Contredanse (A major)
Contredanse - Trio (D major)
Contredanse (B
♭
major)
Contredanse - Trio (E
♭
major)
Contredanse - Trio (C major)
Contredanse (E
♭
major)
Contredanse (C major)
Contredanse (A major)
Contredanse - Trio (C major)
Contredanse (D major)
Contredanse - Trio (E
♭
major)",1791-1802,1802,,,,Classical,Classical,"https://imslp.org/wiki/12_Contredanses,_WoO_14_(Beethoven,_Ludwig_van)"
Coriolanus Overture,"Coriolan (Beethoven)
;
Coriolan Overture
;
科里奧蘭序曲
;
Coriolà (Beethoven)
;
Coriolan-Ouvertüre
;
코리올란 서곡
;
Coriolano
;
Obertura Coriolano
;
Koriolano Obertura
;
Coriolanus Ouverture
;
コリオラン
;
Uwertura Coriolan
;
کوریولان
;
Κοριολανός
;
Koriolan Uvertürası
;
Uverturo Koriolano
;
Coriolan (ouverture)","Coriolà de Beethoven
;
Coriolanouvertüre
;
Obertura Coriolano (Beethoven)
;
Ouvertüre Coriolan
;
Ouverture Coriolan
;
柯里奧蘭
;
柯里奧蘭序曲
;
Coriolan
;
Coriolan Overture, Op. 62
;
Overture to Collin's Coriolan
;
Εισαγωγή «Κοριολανός», έργο 62
;
Κοριολανός, έργο 62","WorldCat
;
Wikipedia
;
VIAF
:
182059092
;
LCCN
:
n81078569
;
GND
:
30001502X
;
SUDOC
:
168023172
;
BNF
:
14813817z
;
NLA
:
35283514
;
BNE
:
XX2091317","Beethoven, Ludwig van",Op.62,ILB 48,C minor,1 overture,"1807
First Perf
ormance
.
1807-03 in Vienna","1808 (January) - Vienna:
Bureau des Arts et de l'Industrie",,Heinrich Joseph Edler von Collin,,Classical,Classical,"https://imslp.org/wiki/Coriolan,_Op.62_(Beethoven,_Ludwig_van)"
